UNITID,University Name,State,Institution Type,Average Cost,Median Debt,Earnings (10 Years Out),Earnings (6 Years Out),Academic Year
128498,Albertus Magnus College,CT,Private Non-Profit,47496.0,29250.0,55262.0,44705.0,2018-19
128577,Asnuntuck Community College,CT,Public,13353.0,5500.0,39283.0,34536.0,2018-19
128674,Branford Hall Career Institute-Branford Campus,CT,Private For-Profit,,9339.0,31123.0,29637.0,2018-19
128744,University of Bridgeport,CT,Private Non-Profit,49222.0,26000.0,50003.0,39809.0,2018-19
128771,Central Connecticut State University,CT,Public,21628.0,21995.0,52515.0,47806.0,2018-19
128780,Charter Oak State College,CT,Public,,18750.0,54604.0,48463.0,2018-19
128896,Cortiva Institute,CT,Private For-Profit,,7600.0,34339.0,27607.0,2018-19
128902,Connecticut College,CT,Private Non-Profit,69379.0,23045.0,71239.0,53562.0,2018-19
129002,Porter & Chester Institute of Hamden,CT,Private For-Profit,28435.0,12350.0,49412.0,36746.0,2018-19
129020,University of Connecticut,CT,Public,30687.0,22000.0,72460.0,56144.0,2018-19
129154,Goodwin University,CT,Private Non-Profit,31184.0,32140.0,36488.0,35195.0,2018-19
129181,Lincoln Technical Institute-East Windsor,CT,Private For-Profit,,11910.0,35265.0,32318.0,2018-19
129215,Eastern Connecticut State University,CT,Public,25926.0,22947.0,49907.0,43081.0,2018-19
129242,Fairfield University,CT,Private Non-Profit,63771.0,26193.0,86060.0,66244.0,2018-19
129367,Connecticut State Community College,CT,Public,11212.0,8984.0,34530.0,30488.0,2018-19
129428,Rensselaer at Hartford,CT,Private Non-Profit,,25000.0,93416.0,77899.0,2018-19
129482,American Institute-West Hartford,CT,Private For-Profit,,10992.0,28619.0,22885.0,2018-19
129525,University of Hartford,CT,Private Non-Profit,53430.0,27000.0,58087.0,40544.0,2018-19
129543,Connecticut State Community College Housatonic,CT,Public,11596.0,6000.0,33021.0,32269.0,2018-19
129695,Manchester Community College,CT,Public,12012.0,5000.0,39762.0,34144.0,2018-19
129729,Naugatuck Valley Community College,CT,Public,10863.0,7350.0,39277.0,32518.0,2018-19
129756,Middlesex Community College,CT,Public,11025.0,6000.0,30216.0,33230.0,2018-19
129774,Mitchell College,CT,Private Non-Profit,47349.0,25000.0,36391.0,29542.0,2018-19
129808,Three Rivers Community College,CT,Public,12143.0,8400.0,37203.0,33935.0,2018-19
129923,Lincoln Technical Institute-New Britain,CT,Private For-Profit,,11910.0,35265.0,32318.0,2018-19
129932,New England Tractor Trailer Training School of Connecticut,CT,Private For-Profit,,6333.0,43545.0,38503.0,2018-19
